Time,Season,Temp,Sal,DO,Turb,Chla,Flushing_Time,Strat_Index,Avg_Wind,Max_Wind,Wind_Dir,Discharge,DOC,DOC_mg,DON,DON_mg,DOC_DON,a254_DOM,SUVA_DOM,HIX_DOM,BIX_DOM,Max_FL_DOM,B_DOM,T_DOM,A_DOM,C_DOM,M_DOM,N_DOM,POC,POC_mg,PN,PN_mg,POCtoPN,a254_POM,SUVA_POC,HIX_POM,BIX_POM,Max_FL_POM,B_POM,T_POM,A_POM,C_POM,M_POM,N_POM
20-Jan-16,Winter,6.193636092,3.365908875,11.56909054,8.472726974,11.77787,7.367919272,0.436333064,3.818533432,21.1,210,414.3430577,740.2498849,8.891141368,343.2818182,0.343281818,30.15267314,69.86045818,3.404264105,15.57813207,0.512332557,47.35512802,1.543531894,2.720264205,22.94282253,14.33925412,9.898821721,6.268409966,915.8022727,0.915802273,140.3409091,0.140340909,7.95555894,2.648135955,1.41713393,9.697496185,0.487559725,2.17425742,0.348195926,0.844904979,0.832024447,0.457608416,0.390401054,0.707464901
17-Feb-16,Winter,6.625908873,1.304545373,11.44590863,15.64999945,5.821043182,6.613106949,0.118434204,4.669887378,22.6,350,547.0618963,765.9719676,9.200089303,348.5318182,0.348531818,31.24642789,80.32535,3.770103874,15.89004859,0.481688643,46.80279917,1.292099506,2.42814488,22.23357035,14.30951619,9.313753009,5.669505748,1214.672752,1.214672752,163.8398676,0.163839868,9.807906215,4.784303397,1.964145296,9.813176988,0.41972136,3.814669785,0.467837889,1.109186924,1.422504767,0.79286621,0.62752973,0.890904827
7-Mar-16,Spring,11.4431813,1.53318174,10.52272684,11.23636332,11.52227273,8.274831499,0.13229798,4.477462121,21.1,220,477.8152209,652.7068765,7.839662293,336.0272727,0.336027273,27.71006055,67.46847864,3.737457183,14.04604866,0.503225869,42.29925774,1.544684186,2.378934798,20.63487526,12.95076426,8.775734896,5.529215674,895.4772727,0.895477273,142.4136364,0.142413636,8.173091693,3.099419273,1.64312247,8.431379943,0.499218143,2.922111604,0.41583487,1.2247642,0.998897051,0.531933678,0.466018225,0.937630363
22-Mar-16,Spring,15.04227218,3.608181693,8.524999602,5.586363494,21.88268182,13.0812224,0.56513271,3.808072917,15.9,200,208.9133478,621.2549425,7.461893115,330.8022727,0.330802273,26.41145148,61.48067864,3.580406499,12.41225447,0.536702286,35.95712059,1.258262757,2.344827111,17.9662422,10.55490799,7.758533478,5.233402647,1456.729545,1.456729545,262.6295455,0.262629545,6.2822308,2.264791136,0.888165551,6.075345015,0.62857703,5.415589839,1.333738748,4.423242945,0.827491692,0.279477686,0.56034479,2.726226418
6-Apr-16,Spring,15.87818133,2.583181706,9.157272339,11.67727243,33.51110227,17.12675021,0.087555163,4.800600091,19,60,178.467658,624.2722874,7.498134444,316.485,0.316485,27.73343185,58.507715,3.38674041,12.63316016,0.53517982,38.82936842,1.550379494,2.543328696,19.77182791,11.57014286,8.651722596,5.734719541,1970.995455,1.970995455,270.6454545,0.270645455,8.248647251,4.077341864,1.337432948,6.571828068,0.537359019,2.601946709,0.566209905,1.47815643,1.082369693,0.564276406,0.524768821,1.220088587
19-Apr-16,Spring,16.36136285,3.514999837,9.28636332,5.418181604,15.35595455,20.88248422,0.493708893,5.096645022,19.5,40,120.2438029,654.010847,7.855324283,338.4254545,0.338425455,27.28799412,55.13172636,3.056832538,11.38616224,0.543526396,35.61690987,1.881572696,2.803683823,18.32175256,10.40379229,8.30007396,5.580981147,1355.161364,1.355161364,197.1704545,0.197170455,8.536016693,1.653972727,0.688638051,6.08658101,0.517373776,1.450941304,0.284673822,0.668100666,0.727950698,0.372179454,0.27817032,0.617377477
9-May-16,Spring,21.59222126,5.114444246,7.169444058,5.433333145,17.68472222,25.92126615,0.600803588,4.093412945,14.9,210,153.2507561,665.7191813,7.995953086,336.75,0.33675,28.16508766,59.06299389,3.171076693,11.74862838,0.553184044,40.8524763,1.564236534,2.857464383,20.34071917,11.71847595,9.448943727,6.172515321,1299.908333,1.299908333,195.8611111,0.195861111,8.059619717,1.730960389,0.613823314,5.597532182,0.514728743,1.56736614,0.342224646,0.625683474,0.740342316,0.403869532,0.265805932,0.569692604
24-May-16,Spring,21.01090821,4.469999861,7.584999605,4.781817973,11.89990909,19.17656458,0.585765293,3.658691512,14.4,300,251.9528319,598.6203651,7.190029206,325.9772727,0.325977273,25.97933038,54.72765455,3.310761109,12.17866676,0.553485757,36.92106104,1.328957329,2.52999658,18.88026718,10.81324627,8.328678288,5.663569289,1007.811364,1.007811364,212.9909091,0.212990909,5.4681494,1.305277591,0.83822675,7.199535441,0.509794401,1.125426151,0.292595637,0.477366574,0.524369292,0.294690643,0.193861146,0.382637716
6-Jun-16,Summer,26.77408999,4.484999825,5.802727098,4.913636202,18.61447273,23.38118561,0.520324832,3.585579004,11.8,60,93.36336232,625.7026399,7.515314408,341.2363636,0.341236364,25.91270222,55.55045364,3.19313455,11.1205919,0.565943569,32.98074161,1.311937914,2.391459324,16.99194589,9.609751611,7.607716248,5.157835301,1129.870455,1.129870455,226.7022727,0.226702273,5.780919876,1.830047545,0.908456904,4.261629956,0.643774106,1.665160667,0.308168822,1.080047355,0.633401167,0.295567456,0.27810483,0.871427108
20-Jun-16,Summer,26.65444363,6.028888633,6.858888626,2.688888795,21.56672222,31.85357649,0.463476471,3.825,14.4,200,111.390357,665.3734015,7.991799925,348.4066667,0.348406667,26.6494725,58.26206167,3.150084933,10.92224078,0.595237669,37.00481496,1.421599089,2.630084607,19.02759233,10.32899347,8.596769006,5.923204182,1705.308333,1.705308333,255.825,0.255825,7.706968239,1.993630333,0.51182607,3.968875697,0.617494272,2.014013191,0.477396979,1.247019869,0.932609513,0.463708752,0.354082261,1.092372932
6-Jul-16,Summer,28.65636271,7.321817804,5.035908891,3.827272605,14.65213636,29.00070272,1.506411607,3.641297244,15.9,220,59.54977173,551.7331734,6.626867146,322.7377273,0.322737727,23.92995697,48.10443591,3.123022615,10.30055368,0.597536308,28.32157049,1.289891827,2.266132195,14.96731369,7.926675923,6.777588501,4.894346568,1382.609091,1.382609091,205.9818182,0.205981818,8.201785663,1.490145682,0.599714228,6.572985618,0.689232989,1.420547746,0.184823538,0.625174369,0.647621438,0.314336618,0.227729094,0.545017984
18-Jul-16,Summer,29.13454472,8.675454015,4.607727159,2.840908936,10.29606591,21.89934414,1.930818925,3.610781972,16.5,200,188.52612,617.9985832,7.422780982,321.4681818,0.321468182,27.06265365,56.15970182,3.216577204,11.36915647,0.593290737,38.11289792,1.453565562,2.757321918,19.32478754,11.13439183,8.984988165,6.134739402,1080.715909,1.080715909,181.8795455,0.181879545,7.552882993,1.1618635,0.54791025,8.107033411,0.575864262,1.214810847,0.194042362,0.442118434,0.562468945,0.287500893,0.183103163,0.359438975
